1|1|KJV|eng|King James Version
2|1|CLVUL|lat|Vulgata Clementina
3|1|CPDV|eng|Catholic Public Domain Version
4|1|NVUL|lat|Nova Vulgata
7|1|UKJV|eng|Updated King James
8|1|WEBBE|eng|World English Bible
10|1|ASV|eng|American Standard Version
